Horodatage;Valeur;Statut
2024-01-04T09:00:00+02:00;206350;Mesure
2024-01-04T09:30:00+02:00;195606;Mesure
2024-01-04T10:00:00+02:00;186890;Mesure
2024-01-04T10:30:00+02:00;175155;Mesure
2024-01-04T11:00:00+02:00;161595;Mesure
2024-01-04T11:30:00+02:00;146313;Mesure
2024-01-04T12:00:00+02:00;145896;Mesure
2024-01-04T12:30:00+02:00;153854;Mesure
2024-01-04T13:00:00+02:00;185701;Mesure
2024-01-04T13:30:00+02:00;202311;Mesure
2024-01-04T14:00:00+02:00;217037;Mesure
2024-01-04T14:30:00+02:00;222458;Mesure
2024-01-04T15:00:00+02:00;214157;Mesure
2024-01-04T15:30:00+02:00;199272;Mesure
2024-01-04T16:00:00+02:00;188102;Mesure
2024-01-04T16:30:00+02:00;175306;Mesure
2024-01-04T17:00:00+02:00;158380;Mesure
2024-01-04T17:30:00+02:00;125957;Mesure
2024-01-04T18:00:00+02:00;87706;Mesure
2024-01-04T18:30:00+02:00;59086;Mesure
2024-01-04T19:00:00+02:00;47585;Mesure
2024-01-04T19:30:00+02:00;43337;Mesure
2024-01-04T20:00:00+02:00;42351;Mesure
2024-01-04T20:30:00+02:00;41840;Mesure
2024-01-04T21:00:00+02:00;39571;Mesure
2024-01-04T21:30:00+02:00;35952;Mesure
2024-01-04T22:00:00+02:00;32546;Mesure
2024-01-04T22:30:00+02:00;31518;Mesure
2024-01-04T23:00:00+02:00;32433;Mesure
2024-01-04T23:30:00+02:00;29971;Mesure
2024-01-05T00:00:00+02:00;28993;Mesure
2024-01-05T00:30:00+02:00;29394;Mesure
2024-01-05T01:00:00+02:00;30827;Mesure
2024-01-05T01:30:00+02:00;31500;Mesure
2024-01-05T02:00:00+02:00;31307;Mesure
2024-01-05T02:30:00+02:00;31315;Mesure
2024-01-05T03:00:00+02:00;32314;Mesure
2024-01-05T03:30:00+02:00;36777;Mesure
2024-01-05T04:00:00+02:00;45667;Mesure
2024-01-05T04:30:00+02:00;83855;Mesure
2024-01-05T05:00:00+02:00;145216;Mesure
2024-01-05T05:30:00+02:00;188493;Mesure
2024-01-05T06:00:00+02:00;190835;Mesure
2024-01-05T06:30:00+02:00;196474;Mesure
2024-01-05T07:00:00+02:00;210186;Mesure
2024-01-05T07:30:00+02:00;224147;Mesure
2024-01-05T08:00:00+02:00;224694;Mesure
2024-01-05T08:30:00+02:00;213310;Mesure
2024-01-05T09:00:00+02:00;200010;Mesure
2024-01-05T09:30:00+02:00;195224;Mesure
2024-01-05T10:00:00+02:00;192442;Mesure
2024-01-05T10:30:00+02:00;180865;Mesure
2024-01-05T11:00:00+02:00;162646;Mesure
2024-01-05T11:30:00+02:00;142771;Mesure
2024-01-05T12:00:00+02:00;140949;Mesure
2024-01-05T12:30:00+02:00;152002;Mesure
2024-01-05T13:00:00+02:00;189915;Mesure
2024-01-05T13:30:00+02:00;209471;Mesure
2024-01-05T14:00:00+02:00;220425;Mesure
2024-01-05T14:30:00+02:00;218749;Mesure
2024-01-05T15:00:00+02:00;206799;Mesure
2024-01-05T15:30:00+02:00;195097;Mesure
2024-01-05T16:00:00+02:00;190682;Mesure
2024-01-05T16:30:00+02:00;181506;Mesure
2024-01-05T17:00:00+02:00;162130;Mesure
2024-01-05T17:30:00+02:00;124961;Mesure
2024-01-05T18:00:00+02:00;84887;Mesure
2024-01-05T18:30:00+02:00;57433;Mesure
2024-01-05T19:00:00+02:00;47755;Mesure
2024-01-05T19:30:00+02:00;44742;Mesure
2024-01-05T20:00:00+02:00;43625;Mesure
2024-01-05T20:30:00+02:00;41902;Mesure
2024-01-05T21:00:00+02:00;38482;Mesure
2024-01-05T21:30:00+02:00;34782;Mesure
2024-01-05T22:00:00+02:00;32325;Mesure
2024-01-05T22:30:00+02:00;32360;Mesure
2024-01-05T23:00:00+02:00;31315;Mesure
2024-01-05T23:30:00+02:00;30413;Mesure
2024-01-06T00:00:00+02:00;30970;Mesure
2024-01-06T00:30:00+02:00;32474;Mesure
2024-01-06T01:00:00+02:00;33542;Mesure
2024-01-06T01:30:00+02:00;33192;Mesure
2024-01-06T02:00:00+02:00;31746;Mesure
2024-01-06T02:30:00+02:00;30534;Mesure
2024-01-06T03:00:00+02:00;34503;Mesure
2024-01-06T03:30:00+02:00;36032;Mesure
2024-01-06T04:00:00+02:00;37532;Mesure
2024-01-06T04:30:00+02:00;37623;Mesure
2024-01-06T05:00:00+02:00;36222;Mesure
2024-01-06T05:30:00+02:00;34617;Mesure
2024-01-06T06:00:00+02:00;34283;Mesure
2024-01-06T06:30:00+02:00;35528;Mesure
2024-01-06T07:00:00+02:00;39273;Mesure
2024-01-06T07:30:00+02:00;39875;Mesure
2024-01-06T08:00:00+02:00;38752;Mesure
2024-01-06T08:30:00+02:00;36938;Mesure
2024-01-06T09:00:00+02:00;36100;Mesure
2024-01-06T09:30:00+02:00;37009;Mesure
2024-01-06T10:00:00+02:00;38829;Mesure
2024-01-06T10:30:00+02:00;39886;Mesure
2024-01-06T11:00:00+02:00;38178;Mesure
2024-01-06T11:30:00+02:00;36436;Mesure
2024-01-06T12:00:00+02:00;35213;Mesure
2024-01-06T12:30:00+02:00;35633;Mesure
2024-01-06T13:00:00+02:00;37310;Mesure
2024-01-06T13:30:00+02:00;38702;Mesure
2024-01-06T14:00:00+02:00;38530;Mesure
2024-01-06T14:30:00+02:00;36951;Mesure
2024-01-06T15:00:00+02:00;33503;Mesure
2024-01-06T15:30:00+02:00;33429;Mesure
2024-01-06T16:00:00+02:00;34799;Mesure
2024-01-06T16:30:00+02:00;36354;Mesure
2024-01-06T17:00:00+02:00;36664;Mesure
2024-01-06T17:30:00+02:00;35444;Mesure
2024-01-06T18:00:00+02:00;33816;Mesure
2024-01-06T18:30:00+02:00;33276;Mesure
2024-01-06T19:00:00+02:00;32360;Mesure
2024-01-06T19:30:00+02:00;33934;Mesure
2024-01-06T20:00:00+02:00;34649;Mesure
2024-01-06T20:30:00+02:00;33848;Mesure
2024-01-06T21:00:00+02:00;32267;Mesure
2024-01-06T21:30:00+02:00;31360;Mesure
2024-01-06T22:00:00+02:00;31961;Mesure
2024-01-06T22:30:00+02:00;33517;Mesure
2024-01-06T23:00:00+02:00;30534;Mesure
2024-01-06T23:30:00+02:00;30669;Mesure
2024-01-07T00:00:00+02:00;32028;Mesure
2024-01-07T00:30:00+02:00;33361;Mesure
2024-01-07T01:00:00+02:00;33443;Mesure
2024-01-07T01:30:00+02:00;32198;Mesure
2024-01-07T02:00:00+02:00;30771;Mesure
2024-01-07T02:30:00+02:00;30474;Mesure
2024-01-07T03:00:00+02:00;35528;Mesure
2024-01-07T03:30:00+02:00;37206;Mesure
2024-01-07T04:00:00+02:00;37776;Mesure
2024-01-07T04:30:00+02:00;36713;Mesure
2024-01-07T05:00:00+02:00;34994;Mesure
2024-01-07T05:30:00+02:00;34200;Mesure
2024-01-07T06:00:00+02:00;35061;Mesure
2024-01-07T06:30:00+02:00;36785;Mesure
2024-01-07T07:00:00+02:00;39886;Mesure
2024-01-07T07:30:00+02:00;39210;Mesure
2024-01-07T08:00:00+02:00;37421;Mesure
2024-01-07T08:30:00+02:00;36164;Mesure
2024-01-07T09:00:00+02:00;36596;Mesure
2024-01-07T09:30:00+02:00;38318;Mesure
2024-01-07T10:00:00+02:00;39748;Mesure
2024-01-07T10:30:00+02:00;39571;Mesure
2024-01-07T11:00:00+02:00;36951;Mesure
2024-01-07T11:30:00+02:00;35417;Mesure
2024-01-07T12:00:00+02:00;35339;Mesure
2024-01-07T12:30:00+02:00;36788;Mesure
2024-01-07T13:00:00+02:00;38432;Mesure
2024-01-07T13:30:00+02:00;38759;Mesure
2024-01-07T14:00:00+02:00;37470;Mesure
2024-01-07T14:30:00+02:00;35748;Mesure
2024-01-07T15:00:00+02:00;33276;Mesure
2024-01-07T15:30:00+02:00;34321;Mesure
2024-01-07T16:00:00+02:00;35991;Mesure
2024-01-07T16:30:00+02:00;36749;Mesure
2024-01-07T17:00:00+02:00;35899;Mesure
2024-01-07T17:30:00+02:00;34223;Mesure
2024-01-07T18:00:00+02:00;33261;Mesure
2024-01-07T18:30:00+02:00;33898;Mesure
2024-01-07T19:00:00+02:00;33517;Mesure
2024-01-07T19:30:00+02:00;34598;Mesure
2024-01-07T20:00:00+02:00;34210;Mesure
2024-01-07T20:30:00+02:00;32709;Mesure
2024-01-07T21:00:00+02:00;31476;Mesure
2024-01-07T21:30:00+02:00;31644;Mesure
2024-01-07T22:00:00+02:00;33058;Mesure
2024-01-07T22:30:00+02:00;34419;Mesure
2024-01-07T23:00:00+02:00;30474;Mesure
2024-01-07T23:30:00+02:00;30593;Mesure
2024-01-08T00:00:00+02:00;31522;Mesure
2024-01-08T00:30:00+02:00;31480;Mesure
2024-01-08T01:00:00+02:00;30594;Mesure
2024-01-08T01:30:00+02:00;29162;Mesure
2024-01-08T02:00:00+02:00;28975;Mesure
2024-01-08T02:30:00+02:00;31166;Mesure
2024-01-08T03:00:00+02:00;34741;Mesure
2024-01-08T03:30:00+02:00;39886;Mesure
2024-01-08T04:00:00+02:00;46433;Mesure
2024-01-08T04:30:00+02:00;78781;Mesure
2024-01-08T05:00:00+02:00;133237;Mesure
2024-01-08T05:30:00+02:00;182978;Mesure
2024-01-08T06:00:00+02:00;201674;Mesure
2024-01-08T06:30:00+02:00;214430;Mesure
2024-01-08T07:00:00+02:00;218682;Mesure
2024-01-08T07:30:00+02:00;214715;Mesure
2024-01-08T08:00:00+02:00;205803;Mesure
2024-01-08T08:30:00+02:00;202482;Mesure
2024-01-08T09:00:00+02:00;206806;Mesure
2024-01-08T09:30:00+02:00;212932;Mesure
2024-01-08T10:00:00+02:00;204273;Mesure
2024-01-08T10:30:00+02:00;177221;Mesure
2024-01-08T11:00:00+02:00;149755;Mesure
2024-01-08T11:30:00+02:00;133104;Mesure
2024-01-08T12:00:00+02:00;142189;Mesure
2024-01-08T12:30:00+02:00;164529;Mesure
2024-01-08T13:00:00+02:00;204745;Mesure
2024-01-08T13:30:00+02:00;210268;Mesure
2024-01-08T14:00:00+02:00;205337;Mesure
2024-01-08T14:30:00+02:00;201465;Mesure
2024-01-08T15:00:00+02:00;203386;Mesure
2024-01-08T15:30:00+02:00;208211;Mesure
2024-01-08T16:00:00+02:00;207587;Mesure
2024-01-08T16:30:00+02:00;186599;Mesure
2024-01-08T17:00:00+02:00;153635;Mesure
2024-01-08T17:30:00+02:00;114459;Mesure
2024-01-08T18:00:00+02:00;81507;Mesure
2024-01-08T18:30:00+02:00;60106;Mesure
2024-01-08T19:00:00+02:00;52150;Mesure
2024-01-08T19:30:00+02:00;47011;Mesure
2024-01-08T20:00:00+02:00;42223;Mesure
2024-01-08T20:30:00+02:00;38441;Mesure
2024-01-08T21:00:00+02:00;36198;Mesure
2024-01-08T21:30:00+02:00;35559;Mesure
2024-01-08T22:00:00+02:00;35162;Mesure
2024-01-08T22:30:00+02:00;34623;Mesure
2024-01-08T23:00:00+02:00;31166;Mesure
2024-01-08T23:30:00+02:00;31676;Mesure
2024-01-09T00:00:00+02:00;32014;Mesure
2024-01-09T00:30:00+02:00;30955;Mesure
2024-01-09T01:00:00+02:00;29543;Mesure
2024-01-09T01:30:00+02:00;28551;Mesure
2024-01-09T02:00:00+02:00;29373;Mesure
2024-01-09T02:30:00+02:00;32268;Mesure
2024-01-09T03:00:00+02:00;35564;Mesure
2024-01-09T03:30:00+02:00;39571;Mesure
2024-01-09T04:00:00+02:00;44940;Mesure
2024-01-09T04:30:00+02:00;76578;Mesure
2024-01-09T05:00:00+02:00;133715;Mesure
2024-01-09T05:30:00+02:00;188910;Mesure
2024-01-09T06:00:00+02:00;207739;Mesure
2024-01-09T06:30:00+02:00;214748;Mesure
2024-01-09T07:00:00+02:00;212665;Mesure
2024-01-09T07:30:00+02:00;207725;Mesure
2024-01-09T08:00:00+02:00;204410;Mesure
2024-01-09T08:30:00+02:00;207890;Mesure
2024-01-09T09:00:00+02:00;213888;Mesure
2024-01-09T09:30:00+02:00;215245;Mesure
2024-01-09T10:00:00+02:00;200011;Mesure
2024-01-09T10:30:00+02:00;171114;Mesure
2024-01-09T11:00:00+02:00;147297;Mesure
2024-01-09T11:30:00+02:00;135591;Mesure
2024-01-09T12:00:00+02:00;147271;Mesure
2024-01-09T12:30:00+02:00;167747;Mesure
2024-01-09T13:00:00+02:00;202149;Mesure
2024-01-09T13:30:00+02:00;203195;Mesure
2024-01-09T14:00:00+02:00;200304;Mesure
2024-01-09T14:30:00+02:00;203289;Mesure
2024-01-09T15:00:00+02:00;210372;Mesure
2024-01-09T15:30:00+02:00;213816;Mesure
2024-01-09T16:00:00+02:00;206851;Mesure
2024-01-09T16:30:00+02:00;180954;Mesure
2024-01-09T17:00:00+02:00;148959;Mesure
2024-01-09T17:30:00+02:00;114310;Mesure
2024-01-09T18:00:00+02:00;83958;Mesure
2024-01-09T18:30:00+02:00;62050;Mesure
2024-01-09T19:00:00+02:00;52459;Mesure
2024-01-09T19:30:00+02:00;45854;Mesure
2024-01-09T20:00:00+02:00;40796;Mesure
2024-01-09T20:30:00+02:00;38002;Mesure
2024-01-09T21:00:00+02:00;37038;Mesure
2024-01-09T21:30:00+02:00;36814;Mesure
2024-01-09T22:00:00+02:00;35691;Mesure
2024-01-09T22:30:00+02:00;34028;Mesure
2024-01-09T23:00:00+02:00;32268;Mesure
2024-01-09T23:30:00+02:00;32426;Mesure
2024-01-10T00:00:00+02:00;31761;Mesure
2024-01-10T00:30:00+02:00;29960;Mesure
2024-01-10T01:00:00+02:00;28717;Mesure
2024-01-10T01:30:00+02:00;28653;Mesure
2024-01-10T02:00:00+02:00;30325;Mesure
2024-01-10T02:30:00+02:00;33238;Mesure
2024-01-10T03:00:00+02:00;35617;Mesure
2024-01-10T03:30:00+02:00;38482;Mesure
2024-01-10T04:00:00+02:00;43477;Mesure
2024-01-10T04:30:00+02:00;76059;Mesure
2024-01-10T05:00:00+02:00;137286;Mesure
2024-01-10T05:30:00+02:00;195378;Mesure
2024-01-10T06:00:00+02:00;209995;Mesure
2024-01-10T06:30:00+02:00;210268;Mesure
2024-01-10T07:00:00+02:00;205337;Mesure
2024-01-10T07:30:00+02:00;204316;Mesure
2024-01-10T08:00:00+02:00;208229;Mesure
2024-01-10T08:30:00+02:00;215320;Mesure
2024-01-10T09:00:00+02:00;218071;Mesure
2024-01-10T09:30:00+02:00;212515;Mesure
2024-01-10T10:00:00+02:00;193283;Mesure
2024-01-10T10:30:00+02:00;166920;Mesure
2024-01-10T11:00:00+02:00;148631;Mesure
2024-01-10T11:30:00+02:00;140248;Mesure
2024-01-10T12:00:00+02:00;151236;Mesure
2024-01-10T12:30:00+02:00;167152;Mesure
2024-01-10T13:00:00+02:00;196033;Mesure
2024-01-10T13:30:00+02:00;197010;Mesure
2024-01-10T14:00:00+02:00;200043;Mesure
2024-01-10T14:30:00+02:00;209400;Mesure
2024-01-10T15:00:00+02:00;217174;Mesure
2024-01-10T15:30:00+02:00;215082;Mesure
2024-01-10T16:00:00+02:00;201758;Mesure
2024-01-10T16:30:00+02:00;174840;Mesure
2024-01-10T17:00:00+02:00;147256;Mesure
2024-01-10T17:30:00+02:00;116962;Mesure
2024-01-10T18:00:00+02:00;86921;Mesure
2024-01-10T18:30:00+02:00;62984;Mesure
2024-01-10T19:00:00+02:00;51557;Mesure
2024-01-10T19:30:00+02:00;44276;Mesure
2024-01-10T20:00:00+02:00;39962;Mesure
2024-01-10T20:30:00+02:00;38546;Mesure
2024-01-10T21:00:00+02:00;38351;Mesure
2024-01-10T21:30:00+02:00;37668;Mesure
2024-01-10T22:00:00+02:00;35388;Mesure
2024-01-10T22:30:00+02:00;32927;Mesure
2024-01-10T23:00:00+02:00;33238;Mesure
2024-01-10T23:30:00+02:00;32474;Mesure
2024-01-11T00:00:00+02:00;30887;Mesure
2024-01-11T00:30:00+02:00;28985;Mesure
2024-01-11T01:00:00+02:00;28522;Mesure
2024-01-11T01:30:00+02:00;29418;Mesure
2024-01-11T02:00:00+02:00;31363;Mesure
2024-01-11T02:30:00+02:00;33599;Mesure
2024-01-11T03:00:00+02:00;34874;Mesure
2024-01-11T03:30:00+02:00;37156;Mesure
2024-01-11T04:00:00+02:00;42764;Mesure
2024-01-11T04:30:00+02:00;77480;Mesure
2024-01-11T05:00:00+02:00;142193;Mesure
2024-01-11T05:30:00+02:00;199199;Mesure
2024-01-11T06:00:00+02:00;207332;Mesure
2024-01-11T06:30:00+02:00;203195;Mesure
2024-01-11T07:00:00+02:00;200304;Mesure
2024-01-11T07:30:00+02:00;206165;Mesure
2024-01-11T08:00:00+02:00;215381;Mesure
2024-01-11T08:30:00+02:00;221117;Mesure
2024-01-11T09:00:00+02:00;217298;Mesure
2024-01-11T09:30:00+02:00;206086;Mesure
2024-01-11T10:00:00+02:00;187400;Mesure
2024-01-11T10:30:00+02:00;166703;Mesure
2024-01-11T11:00:00+02:00;153099;Mesure
2024-01-11T11:30:00+02:00;144783;Mesure
2024-01-11T12:00:00+02:00;152131;Mesure
2024-01-11T12:30:00+02:00;163037;Mesure
2024-01-11T13:00:00+02:00;189410;Mesure
2024-01-11T13:30:00+02:00;194758;Mesure
2024-01-11T14:00:00+02:00;204683;Mesure
2024-01-11T14:30:00+02:00;216791;Mesure
2024-01-11T15:00:00+02:00;220446;Mesure
2024-01-11T15:30:00+02:00;211386;Mesure
2024-01-11T16:00:00+02:00;194816;Mesure
2024-01-11T16:30:00+02:00;171265;Mesure
2024-01-11T17:00:00+02:00;149365;Mesure
2024-01-11T17:30:00+02:00;121109;Mesure
2024-01-11T18:00:00+02:00;88939;Mesure
2024-01-11T18:30:00+02:00;62450;Mesure
2024-01-11T19:00:00+02:00;49889;Mesure
2024-01-11T19:30:00+02:00;43055;Mesure
2024-01-11T20:00:00+02:00;40131;Mesure
2024-01-11T20:30:00+02:00;39806;Mesure
2024-01-11T21:00:00+02:00;39491;Mesure
2024-01-11T21:30:00+02:00;37702;Mesure
2024-01-11T22:00:00+02:00;34402;Mesure
2024-01-11T22:30:00+02:00;31862;Mesure
2024-01-11T23:00:00+02:00;33599;Mesure
2024-01-11T23:30:00+02:00;31797;Mesure
2024-01-12T00:00:00+02:00;29823;Mesure
2024-01-12T00:30:00+02:00;28509;Mesure
2024-01-12T01:00:00+02:00;29055;Mesure
2024-01-12T01:30:00+02:00;30470;Mesure
2024-01-12T02:00:00+02:00;31977;Mesure
2024-01-12T02:30:00+02:00;33173;Mesure
2024-01-12T03:00:00+02:00;33701;Mesure
2024-01-12T03:30:00+02:00;36245;Mesure
2024-01-12T04:00:00+02:00;43151;Mesure
2024-01-12T04:30:00+02:00;80142;Mesure
2024-01-12T05:00:00+02:00;146020;Mesure
2024-01-12T05:30:00+02:00;198493;Mesure
2024-01-12T06:00:00+02:00;201060;Mesure
2024-01-12T06:30:00+02:00;197010;Mesure
2024-01-12T07:00:00+02:00;200043;Mesure
2024-01-12T07:30:00+02:00;212364;Mesure
2024-01-12T08:00:00+02:00;222345;Mesure
2024-01-12T08:30:00+02:00;222426;Mesure
2024-01-12T09:00:00+02:00;211948;Mesure
2024-01-12T09:30:00+02:00;199123;Mesure
2024-01-12T10:00:00+02:00;185258;Mesure
2024-01-12T10:30:00+02:00;170569;Mesure
2024-01-12T11:00:00+02:00;158503;Mesure
2024-01-12T11:30:00+02:00;146964;Mesure
2024-01-12T12:00:00+02:00;149517;Mesure
2024-01-12T12:30:00+02:00;157427;Mesure
2024-01-12T13:00:00+02:00;185537;Mesure
2024-01-12T13:30:00+02:00;197547;Mesure
